Description,Number of jobs,Median,Annual % change,Mean,Mean: Annual % change,10 percentile,20 percentile,25 percentile,30 percentile,40 percentile,50 percentile,60 percentile,70 percentile,80 percentile,90 percentile,Date
United Kingdom,27882,17.09,6.8,21.65,6.9,11.64,12.50,13.00,13.63,15.1,19.50,22.67,24.62,26.87,34.75,2024-01-01
"Managers, directors and senior officials",3035,25.64,6.2,32.7,8.2,13.65,16.14,17.52,18.97,22.2,29.90,35.67,39.03,43.44,57.50,2024-01-01
Corporate managers and directors,2386,28.75,6.7,35.95,8.6,14.34,17.82,19.49,21.34,25,33.52,39.46,43.11,47.74,61.71,2024-01-01
Other managers and proprietors,649,18.21,7.7,21.22,7.1,12.59,14.00,14.54,15.2,16.7,20.16,22.70,24.16,25.87,31.25,2024-01-01
Professional occupations,7930,24.77,5.1,27.2,5.7,15.64,18.37,19.45,20.59,22.61,27.00,29.71,31.45,33.68,40.35,2024-01-01
"Science, research, engineering and technology professionals",1892,25.3,5.8,27.58,6,15.66,18.51,19.62,20.75,22.99,27.91,31.11,33.09,35.14,41.51,2024-01-01
Health professionals,2068,22.99,4.2,25.89,4.4,15.71,18.07,18.90,19.64,21.77,24.99,26.91,28.52,30.14,38.11,2024-01-01
Teaching and other educational professionals,1725,27,4.9,28.01,4.5,17.50,20.50,21.83,23.16,25.29,28.78,31.21,32.75,34.67,39.95,2024-01-01
"Business, media and public service professionals",2245,24.08,5,27.45,7.4,14.80,17.48,18.64,19.72,21.91,26.62,29.78,31.54,34.07,40.83,2024-01-01
Associate professional occupations,4329,17.77,5.4,20.84,5.6,12.43,13.67,14.32,14.95,16.3,19.42,21.62,22.96,24.35,29.86,2024-01-01
"Science, engineering and technology associate professionals",810,16.99,5.1,18.51,5.2,12.30,13.39,13.96,14.48,15.68,18.47,20.19,21.17,22.42,25.90,2024-01-01
Health and social care associate professionals,679,14.92,6.9,15.8,5.4,11.90,12.50,12.86,13.25,14.12,15.92,16.90,17.60,18.19,20.45,2024-01-01
Protective service occupations,407,21.64,6,21.2,7.2,14.83,16.47,16.94,17.57,19.04,22.96,23.87,24.18,24.81,26.74,2024-01-01
"Culture, media and sports occupations",283,15.87,6.1,23.64,10.4,11.55,12.50,12.99,13.46,14.57,17.45,19.50,20.23,21.46,25.97,2024-01-01
Business and public service associate professionals,2150,19.15,5.3,22.8,5.6,12.81,14.31,15.08,15.84,17.51,21.05,23.71,25.52,27.69,35.97,2024-01-01
Administrative and secretarial occupations,2776,14.44,7,16.17,6.3,11.62,12.22,12.50,12.84,13.5,15.39,16.84,17.72,18.83,22.69,2024-01-01
Administrative occupations,2286,14.82,6.7,16.41,6.1,11.75,12.45,12.75,13.02,13.85,15.70,17.22,18.09,19.18,23.18,2024-01-01
Secretarial and related occupations,490,13,6.6,14.9,7.1,11.44,11.67,11.91,12,12.45,14.00,15.01,15.75,16.70,19.89,2024-01-01
